nome,tipologia,tel,email,web,link1,link2,tipoticket,datamodifica,abstract,descrizione,comune,codice_istat,provincia,datainizio,datafine,foto_con_autore
Paesaggi archeologici lungo le Vie Francigene,semplice, ,ufficio.stampa@comune.apricena.fg.it,,,,,22-MAG-15,All'interno della seconda edizione della SETTIMANA DELLA CULTURA MEDIEVALE è stato inaugurato il Museo Civico - Mediateca Federiciana  con la,All'interno della seconda edizione della SETTIMANA DELLA CULTURA MEDIEVALE è stato inaugurato il Museo Civico - Mediateca Federiciana  con la mostra «Paesaggi Archeologici lungo le Vie Francogene»  esposizione che gode del patrocinio di Mibac (Ministero dei Beni Culturali)  Regione Puglia e Associazione Europea Vie Francigene. Con questa mostra si rendono finalmente fruibili al pubblico di Apricena numerose ricchezze del territorio. Primi fra tutti  i reperti archeologici recuperati durante le campagne di scavo a Castelpagano  mai esposti prima. La mostra «Paesaggi archeologici lungo le vie Francigene» resterà aperta al pubblico per oltre un anno  fino al 30 novembre 2015.,Apricena,071004,FG,15-SET-14,30-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=6107
VOCI E MEMORIA 2015,rassegna,3386850294,polifonicabiagiogrimaldi@gmail.com,http://www.polifonicagrimaldi.it,,,,30-LUG-15,L'Associazione Polifonica Barese «Biagio Grimaldi» presenta la nuova Rassegna Musicale «VOCI E MEMORIA» 2015,La Rassegna si articola in una serie di concerti corali e strumentali  rappresentazioni teatrali musicali  alcuni workshop didattici musicali ed una mostra documentaria con materiale dell'Archivio della Polifonica.,Bari,072006,BA,27-FEB-15,19-DIC-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=7913 (https://www.facebook.com/polifonica.biagiogrimaldi/photos) 
Hell in the Cave,rassegna,+39 3391176722,info@hellinthecave.it,http://www.hellinthecave.com/,https://www.facebook.com/hellinthecave,,pagamento,17-NOV-15,Spettacolo aereo sotterraneo  emozionante viaggio tra i versi danteschi della Divina Commedia e tra le concrezioni delle Grotte di Castellana.,&#34 Hell in the Cave - versi danzanti nell&#8217 aere fosco&#34  &#232  uno spettacolo aereo sotterraneo ambientato nella caverna della Grave delle Grotte di Castellana  originale viaggio tra i versi danteschi dell&#8217 Inferno della Divina Commedia e tra le stalattiti e le stalagmiti.&#13 &#10 Spettacolo che ben si sposa con la scenografia delle grotte  Hell in the Cave &#232  un allestimento multimediale importante  capace di abbracciare  con rispetto totale per le sue caratteristiche  l'intero ambiente naturale come spazio scenico  dove le dinamiche teatrali innovative catturano il pubblico per condurlo in una straordinaria avventura nell'Inferno di Dante. &#13 &#10 Lo spettacolo affronta la prima cantica della Divina Commedia con rispetto e con la volont&#224  di renderla accessibile al grande pubblico. La drammaturgia dello spettacolo non si concede stravolgimenti del verso dantesco pur modificando la struttura dell'Inferno. Nel suo viaggio fra i versi danteschi il pubblico interagisce con le figure infernali  condividendone i sentimenti.&#13 &#10 Hell in the Cave &#232  un progetto attuato da Grotte di Castellana srl  realizzato da Alephtheatre per la regia di Enrico Romita e la drammaturgia di Giusy Frallonardo  le coreografie di Vito Cassano e le coreografie aeree di Claudia Cavalli  finanziato da Regione Puglia con fondi F.E.S.R. 2007-2013 asse IV e patrocinato da Comune di Castellana Grotte.&#13 &#10 ,Castellana Grotte,072017,BA,04-LUG-15,11-DIC-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=6733#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=6734#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=6735#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=6736#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=6737#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=6738#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=6739#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=6740#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=7429
Mostra Internazionale sulle Torture Medievali,semplice,+39 0832 246517,castellocarlov@ilecce.it,,,,,25-GIU-15,Le sale espositive del Castello Carlo V di Lecce ospitano la mostra sugli antichi strumenti di tortura medievali dal titolo «Mostra Internazionale sulle Torture Medievali ».,La mostra  promossa dal Raggruppamento Temporaneo di Imprese - Theutra  Oasimed e Novamusa -  e patrocinata dal comune di Lecce  è stata ospitata in varie nazioni tra le quali Spagna Portogallo e Malesia e visitata da più di un milione di persone. Attraverso fedeli ricostruzioni di strumenti di tortura  utilizzati nell'epoca medievale ed anche nei processi inquisitori  si esaminano i motivi ed i mezzi con i quali per secoli l'uomo ha inflitto torture ad altri uomini. Perfetta è l'ambientazione nel Castello Carlo V che ricrea un'atmosfera adeguata all'intera esposizione.  In mostra oltre cinquanta strumenti di dolore e morte  dalla sedia inquisitoria alla garrota  dalla «Veglia» o culla di Giuda  alla botte chiodata usata per uccidere Attilio Regolo  per arrivare a strumenti meno conosciuti.  Pannelli ed illustrazioni tratte da antichi disegni  racconteranno nel dettaglio l'utilizzo degli strumenti nel tempo  dal medioevo fino ai giorni nostri  esaminandone i motivi e il contesto storico.   La mostra intende far riflettere lo spettatore e sensibilizzare l'opinione pubblica sulle atrocità delle torture e la violazione dei diritti umani in un momento in cui queste tematiche tornano tristemente agli onori della cronaca quotidiana. Un invito a ricordare per non dimenticare,Lecce,075035,LE,11-LUG-15,10-GEN-16,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=6434
Mostra del 18&#176  Premio Pino Pascali,semplice,0804249534,segreteria@museopinopascali.it,http://www.museopinopascali.it/museo.html,,,pagamento,27-OTT-15,La Fondazione Pino Pascali di Polignano a Mare inaugura la mostra del XVIII Premio Pino Pascali  quest'anno assegnato agli AES+F. Il collettivo di ,La Fondazione Pino Pascali di Polignano a Mare inaugura la mostra del XVIII Premio Pino Pascali  quest'anno assegnato agli AES+F. Il collettivo di artisti si &#232  costituito nel 1987 in Russia  fondato dagli architetti Tatiana Arzamasova e Lev Evzovich  dal designer multidisciplinare Evgeny Svyatsky  nel 1995 &#232  entrato a far parte della compagine il fotografo di moda Vladimir Fridkes.&#13 &#10 &#13 &#10 La commissione del Premio composta da Rosalba Bran&#224   direttrice della Fondazione Pino Pascali e dai critici d&#8217 arte Christian Caliandro e Antonio Geusa ha ritenuto gli artisti AES+F fondamentali innovatori nel panorama artistico internazionale di una poetica che vede la contaminazione dei linguaggi della fotografia  video e tecnologie digitali in grado di creare una metafora visiva iper-realistica e artificiale di forte impatto emozionale. Oltre a 12 fotografie tratte dalle produzioni pi&#249  note  il Museo Pino Pascali ospiter&#224  il video Allegoria Sacra presentato in contemporanea alla 56^ Biennale di Venezia. Il film-opera della durata di 40&#8217  &#232  ispirato al dipinto del pittore rinascimentale Giovanni Bellini.,Polignano a Mare,072035,BA,19-SET-15,24-GEN-16,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9004#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=8999#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9000#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9001#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9002#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9003
La collezione Amata da Bassano a Longhi,semplice,0832 617210 - 366 6385829,ufficiocultura@comune.cavallino.le.it,,,,gratis,17-SET-15,In mostra 40 dipinti in molti casi inediti o per la prima volta esposti al pubblico  appartenenti alla collezione del medico e chirurgo plastico Pier Luigi Amata e firmati da artisti italiani e stranieri dei secoli XVI-XVIII.,Curata da Francesco Petrucci  conservatore del Museo del Barocco Romano di Ariccia  la rassegna è promossa dall'Assessorato alla Cultura del Comune di Cavallino. La collezione di dipinti antichi di Pier Luigi Amata è una delle più interessanti raccolte private italiane di nuova formazione  per il taglio trasversale rispetto alle scuole regionali e agli indirizzi stilistici emergenti in vari momenti storici  ma anche per l'interesse accordato con ugual peso a tutti i generi pittorici.  Il nucleo principale è costituito da opere di artisti italiani o attivi in Italia tra il XVI e il XVIII secolo  mentre sono assenti bozzetti ed elaborazioni di studio per affreschi e pale d'altare.  In mostra dipinti di: Giovanni Antonio Galli detto «Spadarino»  Pietro Testa  Alessandro Tiarini  Alessandro Turchi detto l'Orbetto  Girolamo da Carpi  Leandro Bassano  Benedetto Gennari  Jacob Ferdinand Voet  Pietro Longhi  Giuseppe Bonito  Tanzio da Varallo  Giovanni Baglione  Filippo Tarchiani  François Perrier  Cesare Dandini  Paolo Biancucci  Giovan Battista Merano  Ludovico Mazzanti Sebastiano Conca  Antonio Tempesta  Frans Franken II  Cornelis Van Poelenbourgh  Frederick  De Moucheron  Jean Baptiste Forest  Pietro Mulier detto il Cavalier Tempesta  Charles Grenier Lacroix  Pietro Paolo Bonzi  Claude Lorrain Tommaso Salini  Orsola Maddalena Caccia  Hans Van Essen  François Habert  Nicolas Baudesson  Giuseppe Recco  Carlo Manieri  «Maestro SB» o Pseudo-Salini  «Maestro del dipinto Colonna».,Cavallino,075020,LE,26-SET-15,13-DIC-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=8978
ARTE E MUSICA,rassegna,080/5412420,pinacoteca@cittametropolitana.ba.it,http://www.pinacotecabari.it,,,gratis,04-NOV-15,Pinacoteca metropolitana di Bari &#34 Corrado Giaquinto&#34  &#13 &#10 &#8220 ARTE E MUSICA&#8221  XIV edizione&#13 &#10 &#8220 Dinamiche e tematiche affini nell&#8217 arte e nella musica&#8221 &#13 &#10 ,Presso la  Pinacoteca metropolitana di Bari riprende la manifestazione Arte e Musica  giunta quest&#8217 anno alla XIV edizione: frequentatissimi matin&#233 es in cui si intrecciano conversazioni d&#8217 arte all&#8217 esecuzione di brani musicali  in omaggio alla formula sperimentata con successo negli anni precedenti. &#8220 Arte e musica&#8221  2015  si articoler&#224  in tre incontri (dopo quello del 4 ottobre  gli altri si terranno  alla stessa ora e con le stesse modalit&#224   il 25 ottobre e il 22 novembre).&#13 &#10 Il primo  che si svolger&#224  domenica 4 ottobre  verter&#224  in una conversazione  tenuta da Clara Gelao  direttrice della stessa Pinacoteca  e arricchita di immagini  sul tema: Cleopatra &#38  le altre. Suicidio  eros e passione nella pittura italiana del Seicento. Il momento successivo  musicale  vedr&#224  l&#8217 esecuzione di brani d&#8217 opera tematicamente affini  eseguiti dalla soprano Silvia Rosato Franchini  accompagnata al pianoforte da Emanuele Petruzzella  tratti dall&#8217  Arianna  di Monteverdi  da Dido and Aeneas di Purcell  dalla Didone abbandonata di Niccol&#242  Piccinni  dalla Norma  di Vincenzo Bellini  da La Vestale di Gaspare Spontini  da Medea di Luigi Cherubini.&#13 &#10 &#13 &#10 ,Bari,072006,BA,04-OTT-15,22-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9238#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9239
Mostra personale di Chrischa Venus Oswald,semplice,393.8704029 &#8211  392.5985840,info@muratcentoventidue.com,http://www.muratcentoventidue.com,https://www.facebook.com/MuratcentoventidueArtecontemporanea,,,06-OTT-15,ONE &#8211  AN/OTHER &#232  la prima mostra personale in Italia di Chrischa Venus Oswald.&#13 &#10 Chrischa Venere Oswald &#232  nata in Baviera nel 1984. Ha terminato i ,ONE &#8211  AN/OTHER &#232  la prima mostra personale in Italia di Chrischa Venus Oswald.&#13 &#10 Chrischa Venere Oswald &#232  nata in Baviera nel 1984. Ha terminato i suoi studi di Belle Arti presso l'Universit&#224  di Arte e Design di Linz (A) nel 2011. Nel 2007 ha ricevuto in Austria il Premio Diesel New Art per la fotografia  della cui giuria faceva parte Erwin Wurm. Il suo lavoro &#232  stato esposto e proiettato in varie mostre nazionali e internazionali  ed &#232  incluso in collezioni private  tra le quali la collezione di video di Manuel de Santaren.,Bari,072006,BA,06-OTT-15,30-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9390
Stagione di Prosa '15 '16 - Comune di Bari,rassegna,328.6917948,promozione@teatropubblicopugliese.it,http://www.teatropubblicopugliese.it/stagione_rassegna/stagione-di-prosa-15-16-comune-di-bari_191.html,,,pagamento,08-OTT-15,La Stagione di Prosa 2015-16 del Comune di Bari nei Teatri Petruzzelli  Kismet e Abeliano,La Stagione di Prosa 2015-16 del Comune di Bari nei Teatri Petruzzelli  Kismet e Abeliano,Bari,072006,BA,10-OTT-15,24-APR-16,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9388#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9387#http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9450
Rassegna Filmica Sociale - II Edizione,semplice,3387113123,,http://www.apmar.it,,,gratis,30-SET-15,Alla sua seconda edizione  la Rassegna Filmica Sociale - &#34 Cambiamo Regista: il mondo &#232  per tutti&#34   sostenuta dal CSV di Taranto  propone 8 visioni ,Alla sua seconda edizione  la Rassegna Filmica Sociale - &#34 Cambiamo Regista: il mondo &#232  per tutti&#34   sostenuta dal CSV di Taranto  propone 8 visioni cinematografiche che  interpretano e aiutano ad approfondire altrettante tematiche sociali e culturali importanti  su cui richiamare l'attenzione di tutti. La Rassegna &#232  promossa da una rosa di associazioni di volontariato che cureranno le tematiche su cui &#232  stata composta la programmazione della rassegna. &#13 &#10 &#13 &#10 ,Taranto,073027,TA,11-OTT-15,29-NOV-15,http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9177
